,ds,y,Lag_Trend_tmax_12,Lag_Trend_tmax_24,Lag_Trend_af_12,Lag_Trend_rain_24,Lag_Trend_sun_24,Lag_Trend_O3_24,Lag_Trend_SO2_24
158,2014-09-01,6.602662499999999,15.824999999999998,14.491666666666665,1.1666666666666667,63.11666666666666,61.633333333333326,15.74536261946098,7.72374931802302
159,2014-10-01,6.575833333333333,16.23333333333333,14.175,0.625,61.958333333333336,61.762499999999996,16.636911454306407,7.529735307251664
160,2014-11-01,6.696512499999999,16.40833333333333,14.108333333333334,0.5,59.958333333333336,62.50416666666666,16.733601341459185,7.440914257389806
161,2014-12-01,6.736383333333333,16.549999999999997,14.070833333333333,0.5,56.50833333333333,63.99166666666667,16.67717960361196,7.300105191902948
162,2015-01-01,6.650083333333333,16.575,14.345833333333331,0.5,50.43333333333332,65.89166666666667,17.039522684873166,7.044705950564834
163,2015-02-01,6.644187499999999,16.416666666666664,14.616666666666664,0.5,48.33333333333333,66.83749999999999,17.29752488189377,6.811026235063043
164,2015-03-01,6.687270833333333,16.383333333333333,14.637499999999998,0.5,48.525,65.00833333333333,17.23841058272263,6.662480609278994
165,2015-04-01,6.5353666666666665,16.483333333333334,14.741666666666667,0.5,48.58333333333333,62.675,17.100958520334636,6.755802233158922
166,2015-05-01,6.4103666666666665,16.59583333333333,14.833333333333332,0.5,47.38333333333333,63.050000000000004,17.295372354937378,7.196094338520331
167,2015-06-01,6.4103666666666665,16.641666666666666,14.858333333333334,0.6666666666666666,46.574999999999996,62.979166666666664,17.532346331229196,7.909840255485685
168,2015-07-01,6.4103666666666665,16.55,15.054166666666665,1.2083333333333333,51.35416666666666,64.10833333333333,17.709664895297298,8.526469369508982
169,2015-08-01,6.4103666666666665,16.391666666666666,15.362499999999997,1.9166666666666663,58.40833333333333,66.63333333333334,17.658239472450237,8.939844810697217
170,2015-09-01,6.4103666666666665,16.179166666666667,15.824999999999998,2.2499999999999996,59.74166666666666,67.7125,16.919016151977726,9.398278570097817
171,2015-10-01,6.139879166666667,16.083333333333332,16.23333333333333,2.25,59.699999999999996,67.42916666666667,15.987048742591526,9.783170006085722
172,2015-11-01,5.8635416666666655,16.075,16.40833333333333,2.25,62.48333333333333,67.82916666666667,15.393904747743855,10.059910259837963
173,2015-12-01,5.737775,16.0625,16.549999999999997,2.25,65.48333333333333,66.92083333333333,15.015724854169331,10.342293482340203
174,2016-01-01,5.585716666666666,15.979166666666666,16.575,2.25,67.73333333333333,64.45833333333333,14.77771436527671,10.590233188937425
175,2016-02-01,5.614916666666667,15.9125,16.416666666666664,2.25,71.475,62.920833333333334,14.561898702194274,10.839482608740294
176,2016-03-01,5.6678999999999995,15.812499999999998,16.383333333333333,2.25,72.56666666666666,62.94583333333333,14.618792368282236,10.894976704469086
177,2016-04-01,5.742874999999999,15.616666666666665,16.483333333333334,2.25,70.725,60.02499999999999,14.703653018017151,10.69189887759483
178,2016-05-01,5.826208333333333,15.579166666666666,16.59583333333333,2.2916666666666665,73.76666666666665,55.229166666666664,14.32796174934929,10.18892481808169
179,2016-06-01,5.826208333333333,15.804166666666665,16.641666666666666,2.0416666666666665,74.51666666666667,54.854166666666664,14.081494006667093,9.421511389728941
180,2016-07-01,5.826208333333333,16.020833333333332,16.55,1.5416666666666665,67.87499999999999,55.43749999999999,14.128999988409923,8.931539800347222
181,2016-08-01,5.826208333333333,16.10833333333333,16.391666666666666,1.2083333333333333,61.61666666666666,54.016666666666666,14.126741730981449,8.723024089301715
182,2016-09-01,6.0067625,16.129166666666666,16.179166666666667,1.1666666666666665,59.324999999999996,51.99583333333333,14.302653822455303,8.51775126188076
183,2016-10-01,6.3512208333333335,15.974999999999998,16.083333333333332,1.25,57.42499999999999,49.266666666666666,14.62197920944007,8.360113078805044
184,2016-11-01,6.446095833333334,15.916666666666666,16.075,1.25,53.89166666666666,47.824999999999996,14.785978246178422,8.316490033498143
185,2016-12-01,6.556508333333333,15.912500000000001,16.0625,1.25,50.90833333333333,51.44999999999999,14.926624835000105,8.308558242242169
